"source_file","source_page","section_heading","rate_category","notification_no","notification_date","rate_as_on_date","schedule","serial_no","hsn_code","description","source_rate","cgst_rate","sgst_rate","total_gst_rate","compensation_cess_rate","is_exempt","gst_rate","condition","footnote","amendment_note","raw_text"
"GST rates2025.pdf","1","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","1.","0101 21 00, 0101 29","Live horses","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","1. | 0101 21 00, 0101 29 | Live horses | 2.5%"
"GST rates2025.pdf","1","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","2.","0202, 0203, 0204, 0205, 0206, 0207, 0208, 0209, 0210","All goods, other than fresh or chilled, pre-packaged and labelled","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","2. | 0202, 0203, 0204, 0205, 0206, 0207, 0208, 0209, 0210 | All goods, other than fresh or chilled, pre-packaged and labelled | 2.5%"
"GST rates2025.pdf","1","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","3.","0303, 0304, 0305, 0306, 0307, 0308, 0309","All goods, other than fresh or chilled, pre-packaged and labelled","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","3. | 0303, 0304, 0305, 0306, 0307, 0308, 0309 | All goods, other than fresh or chilled, pre-packaged and labelled | 2.5%"
"GST rates2025.pdf","1","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","4.","0402","Milk and cream, concentrated or containing added sugar or other sweetening matter, including condensed milk","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","4. | 0402 | Milk and cream, concentrated or containing added sugar or other sweetening matter, including condensed milk | 2.5%"
"GST rates2025.pdf","1","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","5.","0403","Yoghurt; Cream, kephir and other fermented or acidified milk and cream, whether or not concentrated or containing added sugar or other sweetening matter or flavored or containing added fruit, nuts or cocoa; Pre-packaged and labelled Curd, Lassi and Butter milk","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","5. | 0403 | Yoghurt; Cream, kephir and other fermented or acidified milk and cream, whether or not concentrated or containing added sugar or other sweetening matter or flavored or containing added fruit, nuts or cocoa; Pre-packaged and labelled Curd, Lassi and Butter milk | 2.5%"
"GST rates2025.pdf","1","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","6.","0404","Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","6. | 0404 | Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included | 2.5%"
"GST rates2025.pdf","1","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","7.","0405","Butter and other fats and oils derived from milk, including ghee; dairy spreads","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","7. | 0405 | Butter and other fats and oils derived from milk, including ghee; dairy spreads | 2.5%"
"GST rates2025.pdf","1","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","8.","0406","Cheese, other than chena or paneer","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","8. | 0406 | Cheese, other than chena or paneer | 2.5%"
"GST rates2025.pdf","1","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","9.","0408","Birds' eggs, not in shell, and egg yolks, fresh, dried, cooked by steaming or by boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter.","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","9. | 0408 | Birds' eggs, not in shell, and egg yolks, fresh, dried, cooked by steaming or by boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter. | 2.5%"
"GST rates2025.pdf","2","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","10.","0409","Natural honey, pre-packaged and labelled","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","10. | 0409 | Natural honey, pre-packaged and labelled | 2.5%"
"GST rates2025.pdf","2","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","11.","0410","Insects and other edible products of animal origin, not elsewhere specified or included","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","11. | 0410 | Insects and other edible products of animal origin, not elsewhere specified or included | 2.5%"
"GST rates2025.pdf","2","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","12.","0502","Pigs', hogs' or boars' bristles and hair; badger hair and other brush making hair; waste of such bristles or hair.","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","12. | 0502 | Pigs', hogs' or boars' bristles and hair; badger hair and other brush making hair; waste of such bristles or hair. | 2.5%"
"GST rates2025.pdf","2","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","13.","0504","All goods, other than fresh or chilled, pre-packaged and labelled","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","13. | 0504 | All goods, other than fresh or chilled, pre-packaged and labelled | 2.5%"
"GST rates2025.pdf","2","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","14.","0505","Skins and other parts of birds, with their feathers or down, feathers and parts of feathers (whether or not with trimmed edges) and down, not further worked than cleaned, disinfected or treated for preservation; powder and waste of feathers or parts of feathers","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","14. | 0505 | Skins and other parts of birds, with their feathers or down, feathers and parts of feathers (whether or not with trimmed edges) and down, not further worked than cleaned, disinfected or treated for preservation; powder and waste of feathers or parts of feathers | 2.5%"
"GST rates2025.pdf","2","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","15.","0507 (Except 050790)","Ivory, tortoise-shell, whalebone and whalebone hair, horns, unworked or simply prepared but not cut to shape; powder and waste of these products.","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","15. | 0507 (Except 050790) | Ivory, tortoise-shell, whalebone and whalebone hair, horns, unworked or simply prepared but not cut to shape; powder and waste of these products. | 2.5%"
"GST rates2025.pdf","2","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","16.","0508","Coral and similar materials, unworked or simply prepared but not otherwise worked; shells of molluscs, crustaceans or echinoderms and cuttle-bone, unworked or simply prepared but not cut to shape, powder and waste thereof.","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","16. | 0508 | Coral and similar materials, unworked or simply prepared but not otherwise worked; shells of molluscs, crustaceans or echinoderms and cuttle-bone, unworked or simply prepared but not cut to shape, powder and waste thereof. | 2.5%"
"GST rates2025.pdf","2","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","17.","0510","Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other animal products used in the preparation of pharmaceutical products, fresh, chilled, frozen or otherwise provisionally preserved.","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","17. | 0510 | Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other animal products used in the preparation of pharmaceutical products, fresh, chilled, frozen or otherwise provisionally preserved. | 2.5%"
"GST rates2025.pdf","2","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","18.","0511","Animal products not elsewhere specified or included; dead animals of Chapter 1 or 3, unfit for human consumption, other than semen including frozen semen.","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","18. | 0511 | Animal products not elsewhere specified or included; dead animals of Chapter 1 or 3, unfit for human consumption, other than semen including frozen semen. | 2.5%"
"GST rates2025.pdf","2","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","19.","07","Herb, bark, dry plant, dry root, commonly known as jaribooti and dry flower","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","19. | 07 | Herb, bark, dry plant, dry root, commonly known as jaribooti and dry flower | 2.5%"
"GST rates2025.pdf","2","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","20.","0713","Dried leguminous vegetables, shelled, whether or not skinned or split pre-packaged and labelled; Guar gum refined split","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","20. | 0713 | Dried leguminous vegetables, shelled, whether or not skinned or split pre-packaged and labelled; Guar gum refined split | 2.5%"
"GST rates2025.pdf","2","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","21.","0714","Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, frozen, whether or not sliced or in the form of pellets, pre-packaged and labelled","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","21. | 0714 | Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, frozen, whether or not sliced or in the form of pellets, pre-packaged and labelled | 2.5%"
"GST rates2025.pdf","2","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","22.","0801","Cashew nuts, whether or not shelled or peeled, desiccated coconuts; Brazil nuts, dried, whether or not Shelled or Peeled","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","22. | 0801 | Cashew nuts, whether or not shelled or peeled, desiccated coconuts; Brazil nuts, dried, whether or not Shelled or Peeled | 2.5%"
"GST rates2025.pdf","2","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","23.","0802","Dried areca nuts, whether or not shelled or peeled; Other nuts, dried, whether or not shelled or peeled, such as Almonds, Hazelnuts or filberts (Corylus spp.), Chestnuts (Castanea spp.), Pistachios, Macadamia nuts, Kola nuts (Cola spp.), Pine nuts, chestnuts (singhada), Walnuts, whether or not shelled","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","23. | 0802 | Dried areca nuts, whether or not shelled or peeled; Other nuts, dried, whether or not shelled or peeled, such as Almonds, Hazelnuts or filberts (Corylus spp.), Chestnuts (Castanea spp.), Pistachios, Macadamia nuts, Kola nuts (Cola spp.), Pine nuts, chestnuts (singhada), Walnuts, whether or not shelled | 2.5%"
"GST rates2025.pdf","2","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","24.","0802, 0813","Chestnuts (singhada), dried whether or not shelled or peeled","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","24. | 0802, 0813 | Chestnuts (singhada), dried whether or not shelled or peeled | 2.5%"
"GST rates2025.pdf","2","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","25.","08","Dried makhana, whether or not shelled or peeled pre-packaged and labelled","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","25. | 08 | Dried makhana, whether or not shelled or peeled pre-packaged and labelled | 2.5%"
