"source_file","source_page","section_heading","rate_category","notification_no","notification_date","rate_as_on_date","schedule","serial_no","hsn_code","description","source_rate","cgst_rate","sgst_rate","total_gst_rate","compensation_cess_rate","is_exempt","gst_rate","condition","footnote","amendment_note","raw_text"
"services.gst.gov.in (Web Ingestion)","1","CGST rates on goods as on 22.09.2025","CGST","","","22.09.2025","Schedule – 18%","web_ext","8517","Test GST Heading","18%","9.0%","9.0%","18%","","false","18%","","","","8517 | Test GST Heading | 18%"
"services.gst.gov.in (Web Ingestion)","1","CGST rates on goods as on 22.09.2025","CGST","","","22.09.2025","Schedule – 18%","web_ext","85172348","on Smartphones cellular networks test item 85172348 - HSN 85172348","18%","9.0%","9.0%","18%","","false","18%","","","","85172348 | on Smartphones cellular networks test item 85172348 - HSN 85172348 | 18%"
"services.gst.gov.in (Web Ingestion)","1","CGST rates on goods as on 22.09.2025","CGST","","","22.09.2025","Schedule – 18%","web_ext","85172534","on Smartphones - HSN 85172534","18%","9.0%","9.0%","18%","","false","18%","","","","85172534 | on Smartphones - HSN 85172534 | 18%"
"services.gst.gov.in (Web Ingestion)","1","CGST rates on goods as on 22.09.2025","CGST","","","22.09.2025","Schedule – 18%","web_ext","8517","Test GST Heading","18%","9.0%","9.0%","18%","","false","18%","","","","8517 | Test GST Heading | 18%"
"services.gst.gov.in (Web Ingestion)","1","CGST rates on goods as on 22.09.2025","CGST","","","22.09.2025","Schedule – 18%","web_ext","85176477","on Smartphones cellular networks test item 85176477 - HSN 85176477","18%","9.0%","9.0%","18%","","false","18%","","","","85176477 | on Smartphones cellular networks test item 85176477 - HSN 85176477 | 18%"
"services.gst.gov.in (Web Ingestion)","1","CGST rates on goods as on 22.09.2025","CGST","","","22.09.2025","Schedule – 18%","web_ext","85176601","on Smartphones - HSN 85176601","18%","9.0%","9.0%","18%","","false","18%","","","","85176601 | on Smartphones - HSN 85176601 | 18%"
"services.gst.gov.in (Web Ingestion)","1","CGST rates on goods as on 22.09.2025","CGST","","","22.09.2025","Schedule – 18%","web_ext","85179280","on Smartphones cellular networks test item 85179280 - HSN 85179280","18%","9.0%","9.0%","18%","","false","18%","","","","85179280 | on Smartphones cellular networks test item 85179280 - HSN 85179280 | 18%"
"services.gst.gov.in (Web Ingestion)","1","CGST rates on goods as on 22.09.2025","CGST","","","22.09.2025","Schedule – 18%","web_ext","85179462","on Smartphones - HSN 85179462","18%","9.0%","9.0%","18%","","false","18%","","","","85179462 | on Smartphones - HSN 85179462 | 18%"
"services.gst.gov.in (Web Ingestion)","1","CGST rates on goods as on 22.09.2025","CGST","","","22.09.2025","Schedule – 18%","web_ext","85177850","on Smartphones cellular networks test item 85177850 - HSN 85177850","18%","9.0%","9.0%","18%","","false","18%","","","","85177850 | on Smartphones cellular networks test item 85177850 - HSN 85177850 | 18%"
"services.gst.gov.in (Web Ingestion)","1","CGST rates on goods as on 22.09.2025","CGST","","","22.09.2025","Schedule – 18%","web_ext","85178022","on Smartphones - HSN 85178022","18%","9.0%","9.0%","18%","","false","18%","","","","85178022 | on Smartphones - HSN 85178022 | 18%"
pocketgst.com (Web Ingestion),1,CGST rates on services as on 22.09.2025,CGST,,,22.09.2025,Schedule – 5%,web_ext,9963,Restaurant services without AC and without alcohol license,5%,2.5%,2.5%,5%,,false,5%,Without ITC,,,9963 | Restaurant services without AC and without alcohol license | 5%
"services.gst.gov.in (Web Ingestion)","1","CGST rates on goods as on 22.09.2025","CGST","","","22.09.2025","Schedule – 18%","web_ext","85173283","Smartphones cellular networks test item 85173283","18%","9.0%","9.0%","18%","","false","18%","","","","85173283 | Smartphones cellular networks test item 85173283 | 18%"
"services.gst.gov.in (Web Ingestion)","1","CGST rates on goods as on 22.09.2025","CGST","","","22.09.2025","Schedule – 18%","web_ext","85173525","Smartphones","18%","9.0%","9.0%","18%","","false","18%","","","","85173525 | Smartphones | 18%"
"services.gst.gov.in (Web Ingestion)","1","CGST rates on goods as on 22.09.2025","CGST","","","22.09.2025","Schedule – 18%","web_ext","85174576","Smartphones cellular networks test item 85174576","18%","9.0%","9.0%","18%","","false","18%","","","","85174576 | Smartphones cellular networks test item 85174576 | 18%"
"services.gst.gov.in (Web Ingestion)","1","CGST rates on goods as on 22.09.2025","CGST","","","22.09.2025","Schedule – 18%","web_ext","85179044","Smartphones cellular networks test item 85179044","18%","9.0%","9.0%","18%","","false","18%","","","","85179044 | Smartphones cellular networks test item 85179044 | 18%"
"services.gst.gov.in (Web Ingestion)","1","CGST rates on goods as on 22.09.2025","CGST","","","22.09.2025","Schedule – 18%","web_ext","85179774","Smartphones cellular networks test item 85179774","18%","9.0%","9.0%","18%","","false","18%","","","","85179774 | Smartphones cellular networks test item 85179774 | 18%"
